"AddressSuggestId";"Pincode";"Locality";"City";"State"
1;"110001";"Aska Road";"New Delhi";"Delhi"
2;"110001";"Baba Kharak Singh Marg";"New Delhi";"Delhi"
3;"110001";"Babar Road";"New Delhi";"Delhi"
4;"110001";"Barakhamba Road";"New Delhi";"Delhi"
5;"110001";"Baroda use";"New Delhi";"Delhi"
6;"110001";"Bengali Market";"New Delhi";"Delhi"
7;"110001";"Bhagat Singh Market";"New Delhi";"Delhi"
8;"110001";"Bhagwandas Road";"New Delhi";"Delhi"
9;"110001";"Centeral Secreteriat";"New Delhi";"Delhi"
10;"110001";"Connaught Place";"New Delhi";"Delhi"
11;"110001";"Constitution use";"New Delhi";"Delhi"
12;"110001";"Eastern Court";"New Delhi";"Delhi"
13;"110001";"Election Commission";"New Delhi";"Delhi"
14;"110001";"Gole Market";"New Delhi";"Delhi"
15;"110001";"Hailey Road";"New Delhi";"Delhi"
16;"110001";"Janpath";"New Delhi";"Delhi"
17;"110001";"Kali Bari Marg";"New Delhi";"Delhi"
18;"110001";"Kasturba Gandhi Marg";"New Delhi";"Delhi"
19;"110001";"Krishi Bhawan";"New Delhi";"Delhi"
20;"110001";"Lady Harding Medical College";"New Delhi";"Delhi"
21;"110001";"Laxminarain Mandir";"New Delhi";"Delhi"
22;"110001";"Mahadev Road ";"New Delhi";"Delhi"
23;"110001";"Mandi use";"New Delhi";"Delhi"
24;"110001";"Mandir Marg";"New Delhi";"Delhi"
25;"110001";"North Avenue";"New Delhi";"Delhi"
26;"110001";"Panchkuian Road";"New Delhi";"Delhi"
27;"110001";"Parliament use";"New Delhi";"Delhi"
28;"110001";"Parliament Street";"New Delhi";"Delhi"
29;"110001";"Patiala use";"New Delhi";"Delhi"
30;"110001";"Pragati Maidan";"New Delhi";"Delhi"
31;"110001";"Rail Bhawan (Central Delhi)";"New Delhi";"Delhi"
32;"110001";"Rajendra Prasad Road";"New Delhi";"Delhi"
33;"110001";"Rakab Ganj";"New Delhi";"Delhi"
34;"110001";"RBI Building";"New Delhi";"Delhi"
35;"110001";"Red Cross Road";"New Delhi";"Delhi"
36;"110001";"Sansad Marg";"New Delhi";"Delhi"
37;"110001";"Sansadiya Soudh";"New Delhi";"Delhi"
38;"110001";"Secretariat North";"New Delhi";"Delhi"
39;"110001";"Shastri Bhawan (Central Delhi)";"New Delhi";"Delhi"
40;"110001";"Supreme Court";"New Delhi";"Delhi"
41;"110001";"Tmson Road";"New Delhi";"Delhi"
42;"110001";"Tilak Marg";"New Delhi";"Delhi"
43;"110002";"AGCR";"New Delhi";"Delhi"
44;"110002";"Ajmeri Gate";"New Delhi";"Delhi"
45;"110002";"Ajmeri Gate Extension";"New Delhi";"Delhi"
46;"110002";"Ansari Road";"New Delhi";"Delhi"
47;"110002";"Bahadurshah Zafar Marg";"New Delhi";"Delhi"
48;"110002";"Daryaganj";"New Delhi";"Delhi"
49;"110002";"Gandhi Samarak";"New Delhi";"Delhi"
50;"110002";"Gandhi Smarak Nidhi";"New Delhi";"Delhi"
51;"110002";"Indian Agriculture";"New Delhi";"Delhi"
52;"110002";"Indraprastha";"New Delhi";"Delhi"
53;"110002";"Indraprastha Estate";"New Delhi";"Delhi"
54;"110002";"IP Estate";"New Delhi";"Delhi"
55;"110002";"ITO";"New Delhi";"Delhi"
56;"110002";"Minto Road";"New Delhi";"Delhi"
57;"110002";"Nidhi";"New Delhi";"Delhi"
58;"110002";"Rajghat Power use";"New Delhi";"Delhi"
59;"110003";"Aliganj";"New Delhi";"Delhi"
60;"110003";"CGO Complex";"New Delhi";"Delhi"
61;"110003";"Delhi High Court";"New Delhi";"Delhi"
62;"110003";"Golf Links";"New Delhi";"Delhi"
63;"110003";"Jawahar Lal Nehru Stadium";"New Delhi";"Delhi"
64;"110003";"Kasturba Nagar";"New Delhi";"Delhi"
